   at System.Data.SqlClient.SqlBulkCopy.ConvertValue(Object value, _SqlMetaData metadata, Boolean isNull, Boolean& isSqlType, Boolean& coercedToDataFeed)
ERROR 2015-05-22 13:52:50,979 286181ms HomeController         ificationFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 13:56:29,800 19969ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 13:56:29,815 19985ms HomeController         mportDataFromExcel - Column 'Name' does not allow DBNull.Value.
ERROR 2015-05-22 13:56:29,815 19985ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 13:57:19,322 69491ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 13:57:19,322 69491ms HomeController         mportDataFromExcel - Column 'Name' does not allow DBNull.Value.
ERROR 2015-05-22 13:57:19,322 69491ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:02:37,014  6267ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:02:37,030  6282ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:02:37,030  6282ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:03:49,826 79079ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:03:49,827 79080ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:03:49,827 79080ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:04:12,242 101495ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:04:12,242 101495ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:04:12,242 101495ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:07:01,803 271056ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:07:01,803 271056ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:07:01,803 271056ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:08:01,512 330765ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:08:01,512 330765ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:08:01,512 330765ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:08:52,814 382067ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:08:52,814 382067ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:08:52,814 382067ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:10:17,590 466842ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:10:17,590 466842ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:10:17,590 466842ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:17:58,291 927544ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:17:58,291 927544ms HomeController         mportDataFromExcel - Failure creating file.
ERROR 2015-05-22 14:17:58,291 927544ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:20:23,325  3939ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:20:23,340  3955ms HomeController         mportDataFromExcel - No value given for one or more required parameters.
ERROR 2015-05-22 14:20:23,340  3955ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:21:58,121 98736ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:21:58,121 98736ms HomeController         mportDataFromExcel - No value given for one or more required parameters.
ERROR 2015-05-22 14:21:58,121 98736ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 14:30:54,381  5062ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 14:30:54,413  5093ms HomeController         mportDataFromExcel - Column 'Name' does not allow DBNull.Value.
ERROR 2015-05-22 14:30:54,413  5093ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-06-04 01:06:12,797 20804ms HomeController         ResizeImages       - -------------------ERROR LOG -----------------
ERROR 2015-06-04 01:06:12,847 20854ms HomeController         ResizeImages       - SourceFolder does not exist
ERROR 2015-06-04 01:06:12,848 20855ms HomeController         ResizeImages       - -----------------END OF ERROR LOG-----------------
ERROR 2015-06-04 01:11:34,153  2775ms HomeController         ResizeImages       - -------------------ERROR LOG -----------------
ERROR 2015-06-04 01:11:34,166  2788ms HomeController         ResizeImages       - SourceFolder does not exist
ERROR 2015-06-04 01:11:34,166  2788ms HomeController         ResizeImages       - -----------------END OF ERROR LOG-----------------
ERROR 2015-06-04 01:12:00,306 28928ms HomeController         ResizeImages       - -------------------ERROR LOG -----------------
ERROR 2015-06-04 01:12:00,307 28929ms HomeController         ResizeImages       - Value cannot be null.
Parameter name: encoder
ERROR 2015-06-04 01:12:00,307 28929ms HomeController         ResizeImages       - -----------------END OF ERROR LOG-----------------
ERROR 2015-06-04 01:12:32,528 61149ms HomeController         ResizeImages       - -------------------ERROR LOG -----------------
ERROR 2015-06-04 01:12:32,529 61150ms HomeController         ResizeImages       - Value cannot be null.
Parameter name: encoder
ERROR 2015-06-04 01:12:32,529 61150ms HomeController         ResizeImages       - -----------------END OF ERROR LOG-----------------
ERROR 2015-06-04 01:14:25,928 174550ms HomeController         ResizeImages       - -------------------ERROR LOG -----------------
ERROR 2015-06-04 01:14:25,929 174551ms HomeController         ResizeImages       - Value cannot be null.
Parameter name: encoder
ERROR 2015-06-04 01:14:25,929 174551ms HomeController         ResizeImages       - -----------------END OF ERROR LOG-----------------
ERROR 2015-07-22 18:12:50,590 47053ms HomeController         ResizeImages       - -------------------ERROR LOG -----------------
ERROR 2015-07-22 18:12:50,668 47131ms HomeController         ResizeImages       - The specified path, file name, or both are too long. The fully qualified file name must be less than 260 characters, and the directory name must be less than 248 characters.
ERROR 2015-07-22 18:12:50,668 47131ms HomeController         ResizeImages       - -----------------END OF ERROR LOG-----------------
